NCBI_virus_name|Virus.GENBANK.accession|NCBI_host
Erwinia_phage_Fifi44,_complete_genome_|NC_079174.1|Erwinia_amylovora
Escherichia_phage_PO103-1,_complete_genome_|NC_079175.1|Escherichia_coli
Escherichia_phage_MLP1,_complete_genome_|NC_079176.1|Escherichia_coli_CFT073
Yersinia_phage_PYps3T,_complete_genome_|NC_079177.1|Yersinia_pseudotuberculosis
Yersinia_phage_PYps23T,_complete_genome_|NC_079178.1|Yersinia_pseudotuberculosis
Yersinia_phage_PYps16N,_complete_genome_|NC_079179.1|Yersinia_pseudotuberculosis
Escherichia_phage_SKA49,_complete_genome_|NC_079180.1|Escherichia_coli
Escherichia_phage_vB_EcoP_Bp7,_complete_genome_|NC_079181.1|Escherichia_coli
Escherichia_phage_vB_EcoM_Bp10,_complete_genome_|NC_079182.1|Escherichia_sp.
Escherichia_phage_vB_EcoM_SA91KD,_complete_genome_|NC_079183.1|Escherichia_coli_O156:H25
Escherichia_phage_vB_EcoM_DE15,_complete_genome_|NC_079184.1|Escherichia_coli
Vibrio_phage_vB_VpaM_VPs20,_complete_genome_|NC_079185.1|Vibrio_parahaemolyticus
Aeromonas_phage_BUCT696,_complete_genome_|NC_079186.1|Aeromonas_veronii
Aeromonas_phage_pAh6.2TG,_complete_genome_|NC_079187.1|Aeromonas_hydrophila
Aeromonas_phage_PVN03,_complete_genome_|NC_079188.1|Aeromonas_hydrophila
Gordonia_phage_Azira,_complete_genome_|NC_079140.1|Gordonia_rubripertincta
Gordonia_phage_Gibbous,_complete_genome_|NC_079141.1|Gordonia_rubripertincta
Gordonia_phage_Santhid,_complete_genome_|NC_079142.1|Gordonia_terrae
Gordonia_phage_Tarzan,_complete_genome_|NC_079143.1|Gordonia_terrae
Gordonia_phage_Reyja,_complete_genome_|NC_079144.1|Gordonia_terrae
Gordonia_phage_Jojo24,_complete_genome_|NC_079145.1|Gordonia_terrae
Gordonia_phage_Commandaria,_complete_genome_|NC_079146.1|Gordonia_terrae
